time_unity	object	position	
7.881795	MixamoFemale01	(0.38, 0.25, -1.85)	
7.896927	MixamoFemale01	(0.31, 0.24, -1.94)	
7.911389	MixamoFemale01	(0.32, 0.26, -1.91)	
7.924439	MixamoFemale01	(0.35, 0.26, -1.86)	
7.938339	MixamoFemale01	(0.37, 0.24, -1.85)	
7.954292	MixamoFemale01	(0.37, 0.25, -1.85)	
7.967908	MixamoFemale01	(0.33, 0.23, -1.90)	
7.980782	MixamoFemale01	(0.32, 0.23, -1.94)	
7.994012	MixamoFemale01	(0.36, 0.25, -1.86)	
8.008317	MixamoFemale01	(0.36, 0.24, -1.86)	
8.021369	MixamoFemale01	(0.37, 0.29, -1.84)	
8.034235	MixamoFemale01	(0.36, 0.29, -1.84)	
8.048549	MixamoFemale01	(0.38, 0.27, -1.83)	
8.06402	MixamoFemale01	(0.44, 0.26, -1.81)	
8.077886	MixamoFemale01	(0.40, 0.26, -1.83)	
8.094389	MixamoFemale01	(0.33, 0.29, -1.89)	
8.107536	MixamoFemale01	(0.31, 0.33, -1.91)	
8.123394	MixamoFemale01	(0.31, 0.32, -1.92)	
8.135262	MixamoFemale01	(0.32, 0.31, -1.89)	
8.147802	Floor	(0.82, -0.36, -3.64)	
8.15976	Female03	(-0.36, 0.49, -0.86)	
8.173547	Floor	(0.46, -0.36, -3.19)	
8.187512	Female03	(-0.32, 0.44, -0.90)	
8.205948	Female03	(-0.32, 0.46, -0.92)	
8.218674	Female03	(-0.35, 0.47, -0.87)	
8.232488	Female03	(-0.35, 0.47, -0.87)	
8.246647	Female03	(-0.43, 0.54, -0.81)	
8.260557	Female03	(-0.47, 0.51, -0.80)	
8.276225	Female03	(-0.47, 0.54, -0.80)	
8.289437	Female03	(-0.46, 0.53, -0.80)	
8.305456	Female03	(-0.42, 0.51, -0.81)	
8.319153	Female03	(-0.37, 0.48, -0.85)	
8.333754	Female03	(-0.39, 0.49, -0.83)	
8.349133	Female03	(-0.35, 0.46, -0.86)	
8.364014	Female03	(-0.37, 0.49, -0.85)	
8.378664	MixamoFemale01	(0.31, 0.31, -1.91)	
8.393903	MixamoFemale01	(0.41, 0.34, -1.81)	
8.409395	MixamoFemale01	(0.37, 0.35, -1.84)	
8.422711	MixamoFemale01	(0.35, 0.34, -1.86)	
8.437117	MixamoFemale01	(0.36, 0.33, -1.85)	
8.452173	MixamoFemale01	(0.41, 0.32, -1.81)	
8.467228	MixamoFemale01	(0.41, 0.31, -1.81)	
8.481245	MixamoFemale01	(0.38, 0.26, -1.84)	
8.496689	MixamoFemale01	(0.36, 0.26, -1.86)	
8.510841	MixamoFemale01	(0.41, 0.27, -1.82)	
8.52557	MixamoFemale01	(0.42, 0.22, -1.83)	
8.54182	MixamoFemale01	(0.43, 0.23, -1.82)	
8.557419	MixamoFemale01	(0.40, 0.26, -1.82)	
8.571364	MixamoFemale01	(0.36, 0.28, -1.85)	
8.585188	MixamoFemale01	(0.34, 0.28, -1.87)	
8.600954	MixamoFemale01	(0.41, 0.26, -1.82)	
8.615632	MixamoFemale01	(0.44, 0.26, -1.81)	
8.629999	MixamoFemale01	(0.46, 0.20, -1.83)	
8.644284	MixamoFemale01	(0.47, 0.22, -1.82)	
8.659892	MixamoFemale01	(0.47, 0.17, -1.85)	
8.673027	MixamoFemale01	(0.46, 0.20, -1.83)	
8.687574	MixamoFemale01	(0.38, 0.22, -1.86)	
8.700582	MixamoFemale01	(0.34, 0.21, -1.91)	
