Session Ind,Catch Ind,Threshold,Number of agents,agents' raised hand,participant's raised hand,response time,responses,time from the onset of experiment,responding agents,time that fixation disappears
2,1,0.5,8,1,2,2.165894,2,1827.427,1.85E+07,1830.276
2,1,0.5,3,2,2,2.186768,1,1832.462,761,1835.279
2,1,0.5,4,1,2,2.274414,1,1837.554,4862,1840.287
2,1,0.6,8,2,2,1.860596,1,1842.147,1.44E+07,1845.296
2,1,0.5,5,2,2,3.185181,1,1848.481,57138,1850.304
2,1,0.5,5,2,1,2.45105,1,1852.755,71236,1855.305
2,1,0.5,4,1,1,1.817139,1,1857.122,1526,1860.315
2,1,0.5,3,2,2,1.778076,2,1862.093,157,1865.316
2,1,0.5,3,1,2,1.887695,2,1867.204,814,1870.317
2,1,0.5,6,2,2,2.242188,1,1872.559,352164,1875.328
2,1,0.4,3,2,1,2.104248,1,1877.432,578,1880.329
2,1,0.5,4,1,2,2.068481,1,1882.397,7254,1885.339
2,1,0.5,2,2,1,2.047485,1,1887.386,42,1890.35
2,1,0.5,1,1,1,2.260376,1,1892.611,8,1895.356
2,1,0.5,7,2,2,2.031006,1,1897.387,4832657,1900.362
2,1,0.5,4,2,2,2.003296,2,1902.365,8176,1905.363
2,1,0.5,4,2,2,2.301636,2,1907.665,7536,1910.367
2,1,0.5,4,2,2,2.004761,2,1912.372,6517,1915.375
2,1,0.5,4,1,2,2.27124,1,1917.646,4635,1920.386
2,1,0.5,2,2,2,2.001465,2,1922.388,61,1925.393
2,1,0.5,5,2,1,1.668091,2,1927.061,78436,1930.399
2,1,0.5,8,1,1,2.269531,2,1932.669,2.75E+07,1935.407
2,1,0.5,8,1,2,1.762085,1,1937.169,1.27E+07,1940.411
2,1,0.4,5,2,1,1.656372,1,1942.068,38452,0
